data  Al 2 O 3			
_cell_length_a	4.88469386		
_cell_length_b	8.39755725		
_cell_length_c	9.02826574		
_cell_angle_alpha	90		
_cell_angle_beta	90		
_cell_angle_gamma	90		
Al	0.815537	0.839873	0.378279
Al	0.184463	0.160127	0.878279
Al	0.684463	0.339873	0.878279
Al	0.315537	0.660127	0.378279
Al	0.823088	0.152459	0.569188
Al	0.176912	0.847541	0.069188
Al	0.676912	0.652459	0.069188
Al	0.323088	0.347541	0.569188
Al	0.826504	0.46893	0.368304
Al	0.173496	0.53107	0.868304
Al	0.673496	0.96893	0.868304
Al	0.326504	0.03107	0.368304
Al	0.686429	0.6536	0.656894
Al	0.313571	0.3464	0.156894
Al	0.813571	0.1536	0.156894
Al	0.186429	0.8464	0.656894
O	0.655874	0.660924	0.267905
O	0.344126	0.339076	0.767905
O	0.844126	0.160924	0.767905
O	0.155874	0.839076	0.267905
O	0.481652	0.168733	0.509578
O	0.518348	0.831267	0.009578
O	0.018348	0.668733	0.009578
O	0.981652	0.331267	0.509578
O	0.656679	0.001185	0.274399
O	0.343321	0.998815	0.774399
O	0.843321	0.501185	0.774399
O	0.156679	0.498815	0.274399
O	0.656722	0.331262	0.242154
O	0.343278	0.668738	0.742154
O	0.843278	0.831262	0.742154
O	0.156722	0.168738	0.242154
O	0.478242	0.824221	0.496859
O	0.521758	0.175779	0.996859
O	0.021758	0.324221	0.996859
O	0.978242	0.675779	0.496859
O	0.521836	0.511685	0.50384
O	0.478164	0.488315	0.00384
O	0.978164	0.011685	0.00384
O	0.021836	0.988315	0.50384
